code,site,delta_mass_da,spectra
IN:3000,N,2864.0361,1272
IN:3001,N,2042.7197,11018
IN:3002,N,2334.7977,1205
IN:3003,N,3138.1163,939
IN:3004,N,3300.1691,778
IN:3005,N,2026.6870,9494
IN:3006,N,1694.6028,7679
IN:3007,N,2221.7878,11113
IN:3008,N,2075.7299,14628
IN:3009,N,2237.7827,9206
IN:3010,N,2674.9361,1071
IN:3011,N,2278.8093,7971
IN:3012,N,2643.9415,2359
IN:3013,N,2457.8774,1263
IN:3014,N,2366.8253,11374
IN:3015,N,1873.6709,1995
IN:3016,N,2141.7881,657
IN:3017,N,2190.7932,1536
IN:3018,N,2172.7449,826
IN:3019,N,2076.7503,4320
IN:3020,N,3048.0846,603
IN:3021,N,2966.0315,306
IN:3022,N,2313.8729,399
IN:3023,N,2586.9200,3024
IN:3024,N,2498.9039,1925
IN:3025,N,3405.2005,1068
IN:3026,N,2254.7980,2440
IN:3027,N,2133.7717,5606
IN:3028,N,2108.7401,1452
IN:3029,N,2789.9994,1632
IN:3030,N,2424.8672,7054
IN:3031,N,1711.6181,3104
IN:3032,N,3081.0948,3877
IN:3033,N,2823.0096,774
IN:3034,N,2775.0248,1053
IN:3035,N,2555.9254,842
IN:3036,N,2069.7669,834
IN:3037,N,3372.1902,3699
IN:3038,N,2110.7935,564
IN:3039,N,2407.8519,3307
IN:3040,N,3704.3122,337
IN:3041,N,3503.2485,289
IN:3042,N,2935.0369,5224
IN:3043,N,2222.8082,1340
IN:3044,N,2060.7554,15933
IN:3045,N,2463.8403,836
IN:3046,N,2336.8511,1948
IN:3047,N,2968.0471,521
IN:3048,N,2205.7929,3916
IN:3049,N,2117.7768,3941
IN:3050,N,3448.2426,762
IN:3051,N,2434.8991,1143
IN:3052,N,2231.8198,1017
IN:3053,N,2256.8514,408
IN:3054,N,2475.9257,273
IN:3055,N,2245.7990,3521
IN:3056,N,2116.7564,4672
IN:3057,N,3009.0737,1955
IN:3058,N,2880.0311,1128
IN:3059,N,2715.9626,8713
IN:3060,N,2188.7398,1537
IN:3061,N,2391.8569,1405
IN:3062,N,3234.1487,278
IN:3063,N,4028.4179,253
IN:3064,N,2018.7084,2732
IN:3065,N,3517.2278,3526
IN:3066,N,2878.0154,3100
IN:3067,N,2157.7830,1663
IN:3068,N,2320.8562,1964
IN:3069,N,3155.1316,523
IN:3070,N,3153.1159,1738
IN:3071,N,2481.8886,1756
IN:3072,N,2262.8143,9751
IN:3073,N,2028.7404,1246
IN:3074,N,2100.7615,4061
IN:3075,N,2627.9465,3130
IN:3076,N,2432.8835,4357
IN:3077,N,3226.1323,4801
IN:3078,N,3229.1683,495
IN:3079,N,3407.2412,139
IN:3080,N,2896.0511,684
IN:3081,N,1695.6232,828
IN:3082,N,2101.7819,947
IN:3083,N,3064.0795,1498
IN:3084,N,2580.9570,346
IN:3085,N,2937.0777,807
IN:3086,N,2206.8133,4238
IN:3087,N,2459.9308,315
IN:3088,N,2571.9455,2931
IN:3089,N,2425.8876,3097
IN:3090,N,3210.1374,1382
IN:3091,N,2174.7983,1715
IN:3092,N,2570.9251,1078
IN:3093,N,2215.8248,582
IN:3094,N,2717.9782,2040
IN:3095,N,2786.9633,1328
IN:3096,N,2569.9047,10974
IN:3097,N,2539.9305,511
IN:3098,N,2553.9098,2304
IN:3099,N,3007.0580,9574
IN:3100,N,4176.4914,165
IN:3101,N,4307.5497,167
IN:3102,N,2621.9836,375
IN:3103,N,3374.2059,1458
IN:3104,N,2053.7720,391
IN:3105,N,2270.7929,807
IN:3106,N,3147.1152,484
IN:3107,N,2528.8781,1018
IN:3108,N,4103.4750,126
IN:3109,N,2814.0106,889
IN:3110,N,3284.1742,868
IN:3111,N,2919.0420,3090
IN:3112,N,2393.8726,895
IN:3113,N,2772.9841,2988
IN:3114,N,3083.1104,1713
IN:3115,N,2012.7455,1706
IN:3116,N,2871.0572,282
IN:3117,N,2010.6921,618
IN:3118,N,3720.3071,256
IN:3119,N,2448.8784,2184
IN:3120,N,3866.3650,140
IN:3121,N,2263.8347,5438
IN:3122,N,3738.3428,794
IN:3123,N,3663.2857,2440
IN:3124,N,4101.4594,301
IN:3125,N,2287.8460,693
IN:3126,N,2545.8934,428
IN:3127,N,3591.2645,798
IN:3128,N,2158.8034,1685
IN:3129,N,2279.8297,3172
IN:3130,N,3228.1731,329
IN:3131,N,3886.4164,256
IN:3132,N,3809.3436,1234
IN:3133,N,4272.5238,67
IN:3134,N,4118.4496,221
IN:3135,N,3594.3006,292
IN:3136,N,2465.8937,2596
IN:3137,N,3665.3013,963
IN:3138,N,4483.5818,71
IN:3139,N,4468.6072,246
IN:3140,N,4409.5450,233
IN:3141,N,2798.0157,408
IN:3142,N,4247.5173,118
IN:3143,N,2701.9833,659
IN:3144,N,6441.3465,20
IN:3145,N,2246.8194,188
IN:3146,N,3882.3600,307
IN:3147,N,4475.6032,99
IN:3148,N,3827.3541,452
IN:3149,N,3520.2638,469
IN:3150,N,3519.2685,86
IN:3151,N,2142.8085,555
IN:3152,N,3302.2099,217
IN:3153,N,4412.6187,99
IN:3154,N,1857.6760,418
IN:3155,N,4833.7394,74
IN:3156,N,3521.2842,85
IN:3157,N,3140.1570,265
IN:3158,N,3959.4328,178
IN:3159,N,5563.0086,38
IN:3160,N,3589.2489,127
IN:3161,N,3812.3796,137
IN:3162,N,2716.9830,486
IN:3163,N,2791.0198,729
IN:3164,N,4393.5501,132
IN:3165,N,3156.1520,76
IN:3166,N,3010.1192,268
IN:3167,N,2644.9619,449
IN:3168,N,3447.2474,127
IN:3169,N,2043.7401,58
IN:3170,N,6586.3840,18
IN:3171,N,2408.8723,741
IN:3172,N,6732.4420,26
IN:3173,N,2350.7927,22760
IN:3174,K,1431.8157,13333
